Date,Open,High,Low,Close,Adj Close,Volume
2024-02-06,42657.390625,43344.148438,42529.019531,43084.671875,43084.671875,16798476726
2024-02-07,43090.019531,44341.949219,42775.957031,44318.222656,44318.222656,21126587775
2024-02-08,44332.125000,45575.839844,44332.125000,45301.566406,45301.566406,26154524080
2024-02-09,45297.382813,48152.496094,45260.824219,47147.199219,47147.199219,39316770844
2024-02-10,47153.527344,48146.171875,46905.320313,47771.277344,47771.277344,16398681570
2024-02-11,47768.968750,48535.937500,47617.406250,48293.917969,48293.917969,19315867136
2024-02-12,48296.386719,50280.476563,47745.761719,49958.222656,49958.222656,34511985805
2024-02-13,49941.359375,50358.390625,48406.496094,49742.441406,49742.441406,35593051468
2024-02-14,49733.445313,52021.371094,49296.832031,51826.695313,51826.695313,39105608050
2024-02-15,51836.785156,52820.066406,51371.628906,51938.554688,51938.554688,38564360533
2024-02-16,51937.726563,52537.968750,51641.367188,52160.203125,52160.203125,28180567298
2024-02-17,52161.675781,52191.914063,50669.667969,51662.996094,51662.996094,20009091006
2024-02-18,51661.968750,52356.964844,51233.707031,52122.546875,52122.546875,17595377311
2024-02-19,52134.812500,52483.324219,51711.820313,51779.144531,51779.144531,21362184346
2024-02-20,51777.726563,52945.050781,50792.312500,52284.875000,52284.875000,33353758256
2024-02-21,52273.535156,52368.816406,50671.757813,51839.179688,51839.179688,28624907020
2024-02-22,51854.644531,52009.613281,50926.292969,51304.972656,51304.972656,25413900611
2024-02-23,51283.906250,51497.933594,50561.777344,50731.949219,50731.949219,21427078270
2024-02-24,50736.371094,51684.195313,50585.445313,51571.101563,51571.101563,15174077879
2024-02-25,51565.214844,51950.027344,51306.171875,51733.238281,51733.238281,15413239245
2024-02-26,51730.539063,54938.175781,50931.031250,54522.402344,54522.402344,34074411896
2024-02-27,54519.363281,57537.839844,54484.199219,57085.371094,57085.371094,49756832031
2024-02-28,57071.097656,63913.132813,56738.425781,62504.789063,62504.789063,83239156760
2024-02-29,62499.183594,63585.644531,60498.730469,61198.382813,61198.382813,65496611844
2024-03-01,61168.062500,63155.101563,60802.527344,62440.632813,62440.632813,40186368423
2024-03-02,62431.652344,62458.699219,61657.289063,62029.847656,62029.847656,23888473685
2024-03-03,62031.578125,63230.210938,61435.023438,63167.371094,63167.371094,26253811450
2024-03-04,63137.003906,68537.031250,62386.519531,68330.414063,68330.414063,70670471105
2024-03-05,68341.054688,69170.625000,59323.910156,63801.199219,63801.199219,102802940877
2024-03-06,63776.050781,67637.929688,62848.671875,66106.804688,66106.804688,68750229073
2024-03-07,66099.742188,68029.921875,65655.531250,66925.484375,66925.484375,46989543159
2024-03-08,66938.093750,70083.054688,66230.453125,68300.093750,68300.093750,59202881172
2024-03-09,68299.257813,68673.054688,68053.125000,68498.882813,68498.882813,21609650379
2024-03-10,68500.257813,70005.203125,68239.976563,69019.789063,69019.789063,35683977532
2024-03-11,69020.546875,72850.710938,67194.882813,72123.906250,72123.906250,65716656765
2024-03-12,72125.125000,72825.656250,68728.851563,71481.289063,71481.289063,62554434520
2024-03-13,71482.117188,73637.476563,71334.093750,73083.500000,73083.500000,48212536929
2024-03-14,73079.375000,73750.070313,68563.023438,71396.593750,71396.593750,59594605698
2024-03-15,71387.875000,72357.132813,65630.695313,69403.773438,69403.773438,78320453976
2024-03-16,69392.484375,70046.273438,64801.394531,65315.117188,65315.117188,46842198371
2024-03-17,65316.343750,68845.718750,64545.316406,68390.625000,68390.625000,44716864318
2024-03-18,68371.304688,68897.132813,66594.226563,67548.593750,67548.593750,49261579492
2024-03-19,67556.132813,68106.929688,61536.179688,61912.773438,61912.773438,74215844794
2024-03-20,61930.156250,68115.257813,60807.785156,67913.671875,67913.671875,66792634382
2024-03-21,67911.585938,68199.992188,64580.917969,65491.390625,65491.390625,44480350565
2024-03-22,65489.929688,66623.750000,62355.371094,63778.761719,63778.761719,41401116964
2024-03-23,63802.722656,65976.398438,63038.492188,64062.203125,64062.203125,24738964812
2024-03-24,64070.753906,67622.757813,63825.851563,67234.171875,67234.171875,27206630673
2024-03-25,67234.093750,71162.593750,66414.835938,69958.812500,69958.812500,42700139523
2024-03-26,69931.328125,71535.742188,69335.609375,69987.835938,69987.835938,36010437368
2024-03-27,69991.898438,71727.687500,68381.929688,69455.343750,69455.343750,40827113309
2024-03-28,69452.773438,71546.023438,68895.507813,70744.953125,70744.953125,34374900617
2024-03-29,70744.796875,70913.093750,69076.656250,69892.828125,69892.828125,25230851763
2024-03-30,69893.445313,70355.492188,69601.062500,69645.304688,69645.304688,17130241883
2024-03-31,69647.781250,71377.781250,69624.867188,71333.648438,71333.648438,20050941373
2024-04-01,71333.484375,71342.093750,68110.695313,69702.148438,69702.148438,34873527352
2024-04-02,69705.023438,69708.382813,64586.593750,65446.972656,65446.972656,50705240709
2024-04-03,65446.671875,66914.320313,64559.898438,65980.812500,65980.812500,34488018367
2024-04-04,65975.695313,69291.257813,65113.796875,68508.843750,68508.843750,34439527442
2024-04-05,68515.757813,68725.757813,66011.476563,67837.640625,67837.640625,33748230056
2024-04-06,67840.570313,69629.601563,67491.718750,68896.109375,68896.109375,19967785809
2024-04-07,68897.109375,70284.429688,68851.632813,69362.554688,69362.554688,21204930369
2024-04-08,69362.554688,72715.359375,69064.242188,71631.359375,71631.359375,37261432669
2024-04-09,71632.500000,71742.507813,68212.921875,69139.015625,69139.015625,36426900409
2024-04-10,69140.242188,71093.429688,67503.562500,70587.882813,70587.882813,38318601774
2024-04-11,70575.734375,71256.234375,69571.812500,70060.609375,70060.609375,30153382941
2024-04-12,70061.382813,71222.742188,65254.835938,67195.867188,67195.867188,44129299406
2024-04-13,67188.375000,67931.429688,60919.105469,63821.472656,63821.472656,52869738185
2024-04-14,63836.230469,65824.429688,62205.851563,65738.726563,65738.726563,49084320047
2024-04-15,65739.648438,66878.648438,62332.070313,63426.210938,63426.210938,43595917654
2024-04-16,63419.296875,64355.667969,61716.402344,63811.863281,63811.863281,42847528078
2024-04-17,63831.847656,64486.363281,59768.585938,61276.691406,61276.691406,41915247049
2024-04-18,61275.316406,64125.687500,60833.480469,63512.753906,63512.753906,36006307335
2024-04-19,63510.750000,65481.597656,59651.390625,63843.570313,63843.570313,49920425401
2024-04-20,63851.101563,65442.457031,63172.402344,64994.441406,64994.441406,23097485495
2024-04-21,64992.816406,65723.242188,64277.722656,64926.644531,64926.644531,20506644853
2024-04-22,64935.632813,67233.960938,64548.179688,66837.679688,66837.679688,28282686673
2024-04-23,66839.890625,67199.242188,65864.867188,66407.273438,66407.273438,24310975583
2024-04-24,66408.718750,67075.367188,63589.871094,64276.898438,64276.898438,30276655120
2024-04-25,64275.019531,65275.207031,62783.632813,64481.707031,64481.707031,32155786816
2024-04-26,64485.371094,64789.656250,63322.398438,63755.320313,63755.320313,24139372950
2024-04-27,63750.988281,63898.363281,62424.718750,63419.140625,63419.140625,19530783039
2024-04-28,63423.515625,64321.484375,62793.597656,63113.230469,63113.230469,17334827993
2024-04-29,63106.363281,64174.878906,61795.457031,63841.121094,63841.121094,26635912073
2024-04-30,null,null,null,null,null,null
2024-05-01,60612.921875,60708.449219,59546.796875,59546.796875,59546.796875,37463969792
